Route_name,Route_link
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
Phagwara to Delhi,https://www.redbus.in/bus-tickets/phagwara-to-delhi
Jalandhar to Delhi,https://www.redbus.in/bus-tickets/jalandhar-to-delhi
Delhi to Jalandhar,https://www.redbus.in/bus-tickets/delhi-to-jalandhar
Patiala to Delhi Airport,https://www.redbus.in/bus-tickets/patiala-to-delhi-airport
Jalandhar to Delhi Airport,https://www.redbus.in/bus-tickets/jalandhar-to-delhi-airport
Ludhiana to Delhi Airport,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport
Phagwara to Delhi Airport,https://www.redbus.in/bus-tickets/phagwara-to-delhi-airport
Delhi Airport to Ludhiana,https://www.redbus.in/bus-tickets/delhi-airport-to-ludhiana
Delhi to Phagwara,https://www.redbus.in/bus-tickets/delhi-to-phagwara
Delhi to Amritsar,https://www.redbus.in/bus-tickets/delhi-to-amritsar
Amritsar to Delhi,https://www.redbus.in/bus-tickets/amritsar-to-delhi
Delhi Airport to Patiala,https://www.redbus.in/bus-tickets/delhi-airport-to-patiala
Amritsar to Delhi Airport,https://www.redbus.in/bus-tickets/amritsar-to-delhi-airport
Kapurthala to Delhi,https://www.redbus.in/bus-tickets/kapurthala-to-delhi
Delhi Airport to Jalandhar,https://www.redbus.in/bus-tickets/delhi-airport-to-jalandhar
Chandigarh to Bathinda,https://www.redbus.in/bus-tickets/chandigarh-to-bathinda
Chandigarh to Faridkot,https://www.redbus.in/bus-tickets/chandigarh-to-faridkot
Chandigarh to Patiala,https://www.redbus.in/bus-tickets/chandigarh-to-patiala
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
Gopalganj (Bihar) to Delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi
Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari
Delhi to Motihari,https://www.redbus.in/bus-tickets/delhi-to-motihari
Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna
Motihari to Delhi,https://www.redbus.in/bus-tickets/motihari-to-delhi
Patna (Bihar) to Balmiki Nagar (bihar),https://www.redbus.in/bus-tickets/patna-to-balmiki-nagar-bihar
Balmiki Nagar (bihar) to Patna (Bihar),https://www.redbus.in/bus-tickets/balmiki-nagar-bihar-to-patna
Patna (Bihar) to Kathmandu,https://www.redbus.in/bus-tickets/patna-to-kathmandu
Patna (Bihar) to Katihar,https://www.redbus.in/bus-tickets/patna-to-katihar
Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea
Patna (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/patna-to-hazaribagh
Ranchi to Patna (Bihar),https://www.redbus.in/bus-tickets/ranchi-to-patna
Hazaribagh to Patna (Bihar),https://www.redbus.in/bus-tickets/hazaribagh-to-patna
Patna (Bihar) to Raxaul,https://www.redbus.in/bus-tickets/patna-to-raxaul
Muzaffarpur (Bihar) to Kathmandu,https://www.redbus.in/bus-tickets/muzaffarpur-to-kathmandu
Patna (Bihar) to Ranchi,https://www.redbus.in/bus-tickets/patna-to-ranchi
Muzaffarpur (Bihar) to Ranchi,https://www.redbus.in/bus-tickets/muzaffarpur-to-ranchi
Kathmandu to Patna (Bihar),https://www.redbus.in/bus-tickets/kathmandu-to-patna
Ranchi to Muzaffarpur (Bihar),https://www.redbus.in/bus-tickets/ranchi-to-muzaffarpur
Motihari to Lucknow,https://www.redbus.in/bus-tickets/motihari-to-lucknow
Lucknow to Motihari,https://www.redbus.in/bus-tickets/lucknow-to-motihari
Motihari to Kathmandu,https://www.redbus.in/bus-tickets/motihari-to-kathmandu
Agra to Motihari,https://www.redbus.in/bus-tickets/agra-to-motihari
Patna (Bihar) to Janakpur (Nepal),https://www.redbus.in/bus-tickets/patna-to-janakpur-nepal
Muzaffarpur (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/muzaffarpur-to-hazaribagh
Purnea to Patna (Bihar),https://www.redbus.in/bus-tickets/purnea-to-patna
Patna (Bihar) to Araria (Bihar),https://www.redbus.in/bus-tickets/patna-to-araria
Darbhanga to Patna (Bihar),https://www.redbus.in/bus-tickets/darbhanga-to-patna
Patna (Bihar) to Saharsa,https://www.redbus.in/bus-tickets/patna-to-saharsa
Motihari to Agra,https://www.redbus.in/bus-tickets/motihari-to-agra
Hajipur (Bihar) to Kathmandu,https://www.redbus.in/bus-tickets/hajipur-to-kathmandu
Kathmandu to Motihari,https://www.redbus.in/bus-tickets/kathmandu-to-motihari
Patna (Bihar) to Forbesganj,https://www.redbus.in/bus-tickets/patna-to-forbesganj
Ranchi to Hajipur (Bihar),https://www.redbus.in/bus-tickets/ranchi-to-hajipur
Lucknow to Gopalganj (Bihar),https://www.redbus.in/bus-tickets/lucknow-to-gopalganj
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune
Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa
Goa to Mumbai,https://www.redbus.in/bus-tickets/goa-to-mumbai
Pandharpur to Goa,https://www.redbus.in/bus-tickets/pandharpur-to-goa
Bangalore to Goa,https://www.redbus.in/bus-tickets/bangalore-to-goa
Goa to Pandharpur,https://www.redbus.in/bus-tickets/goa-to-pandharpur
Belagavi to Goa,https://www.redbus.in/bus-tickets/belagavi-to-goa
Goa to Bangalore,https://www.redbus.in/bus-tickets/goa-to-bangalore
Solapur to Goa,https://www.redbus.in/bus-tickets/solapur-to-goa
Goa to Kolhapur(Maharashtra),https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra
Goa to Solapur,https://www.redbus.in/bus-tickets/goa-to-solapur
Goa to Sangola (Solapur),https://www.redbus.in/bus-tickets/goa-to-sangola
Sangola (Solapur) to Goa,https://www.redbus.in/bus-tickets/sangola-to-goa
Calangute (goa) to Goa Airport,https://www.redbus.in/bus-tickets/calangute-goa-to-goa-airport
Goa to Sangli,https://www.redbus.in/bus-tickets/goa-to-sangli
Calangute (goa) to Mopa Airport,https://www.redbus.in/bus-tickets/calangute-goa-to-mopa-airport
Mopa Airport to Calangute (goa),https://www.redbus.in/bus-tickets/mopa-airport-to-calangute-goa
Ponda to Belagavi,https://www.redbus.in/bus-tickets/ponda-to-belagavi
Goa to Miraj,https://www.redbus.in/bus-tickets/goa-to-miraj
Goa Airport to Calangute (goa),https://www.redbus.in/bus-tickets/goa-airport-to-calangute-goa
Marcel to Belagavi,https://www.redbus.in/bus-tickets/marcel-to-belagavi
Shivamogga to Goa,https://www.redbus.in/bus-tickets/shimoga-to-goa
Goa to Mopa Airport,https://www.redbus.in/bus-tickets/goa-to-mopa-airport
Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara
Belagavi to Marcel,https://www.redbus.in/bus-tickets/belagavi-to-marcel
Mopa Airport to Goa,https://www.redbus.in/bus-tickets/mopa-airport-to-goa
Shirdi to Goa,https://www.redbus.in/bus-tickets/shirdi-to-goa
Goa to Shivamogga,https://www.redbus.in/bus-tickets/goa-to-shimoga
Goa to Shirdi,https://www.redbus.in/bus-tickets/goa-to-shirdi
Goa to Goa Airport,https://www.redbus.in/bus-tickets/goa-to-goa-airport
Margao to Mopa Airport,https://www.redbus.in/bus-tickets/margoa-to-mopa-airport
Goa Airport to Goa,https://www.redbus.in/bus-tickets/goa-airport-to-goa
Mopa Airport to Margao,https://www.redbus.in/bus-tickets/mopa-airport-to-margoa
Belagavi to Saquelim,https://www.redbus.in/bus-tickets/belagavi-to-saquelim
Panaji to Mopa Airport,https://www.redbus.in/bus-tickets/panaji-to-mopa-airport
Saquelim to Belagavi,https://www.redbus.in/bus-tickets/saquelim-to-belagavi
Calangute (goa) to Goa,https://www.redbus.in/bus-tickets/calangute-goa-to-goa
Calangute (goa) to Panaji,https://www.redbus.in/bus-tickets/calangute-goa-to-panaji
Goa Airport to Panaji,https://www.redbus.in/bus-tickets/goa-airport-to-panaji
Tezpur to Guwahati,https://www.redbus.in/bus-tickets/tezpur-to-guwahati
Guwahati to Tezpur,https://www.redbus.in/bus-tickets/guwahati-to-tezpur
Nagaon (Assam) to Guwahati,https://www.redbus.in/bus-tickets/nagaon-to-guwahati
Guwahati to Nagaon (Assam),https://www.redbus.in/bus-tickets/guwahati-to-nagaon
Goalpara to Guwahati,https://www.redbus.in/bus-tickets/goalpara-to-guwahati
Jorhat to North Lakhimpur,https://www.redbus.in/bus-tickets/jorhat-to-north-lakhimpur
Dhubri to Guwahati,https://www.redbus.in/bus-tickets/dhubri-to-guwahati
Guwahati to Dhubri,https://www.redbus.in/bus-tickets/guwahati-to-dhubri
North Lakhimpur to Sibsagar,https://www.redbus.in/bus-tickets/north-lakhimpur-to-sibsagar
North Lakhimpur to Jorhat,https://www.redbus.in/bus-tickets/north-lakhimpur-to-jorhat
Dhekiajuli to Guwahati,https://www.redbus.in/bus-tickets/dhekiajuli-to-guwahati
Jorhat to Dibrugarh,https://www.redbus.in/bus-tickets/jorhat-to-dibrugarh
Jorhat to Dhemaji,https://www.redbus.in/bus-tickets/jorhat-to-dhemaji
Sibsagar to North Lakhimpur,https://www.redbus.in/bus-tickets/sibsagar-to-north-lakhimpur
