Unnamed: 0,route_names,route_links,bus_names,bus_types,departing_time,duration,reaching_time,star_rating,prices,seats_available
0,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1758,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",00:15:00,04h 50m,05:05:00,3.4,396.0,10
1,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 42162,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",01:10:00,06h 10m,07:20:00,4.2,396.0,28
2,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 30710,RAJDHANI (A.C. Semi Sleeper),01:20:00,05h 40m,07:00:00,4.1,480.0,32
3,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 42362,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",01:50:00,06h 10m,08:00:00,4.3,396.0,30
4,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1590,RAJDHANI (A.C. Semi Sleeper),02:00:00,05h 40m,07:40:00,2.7,480.0,32
5,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 30910,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),02:15:00,05h 40m,07:55:00,3.8,533.0,38
6,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1571,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",02:40:00,06h 05m,08:45:00,3.6,396.0,31
7,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 42562,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",02:50:00,06h 15m,09:05:00,3.4,396.0,33
8,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 5966,RAJADHANI AC (CONVERTED METRO LUXURY),03:20:00,06h 05m,09:25:00,3.7,480.0,36
9,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 42762,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",03:30:00,06h 10m,09:40:00,4.0,396.0,29
10,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1884,RAJADHANI AC (CONVERTED METRO LUXURY),04:00:00,05h 40m,09:40:00,3.8,480.0,35
11,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 41931,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",04:10:00,05h 00m,09:10:00,4.6,396.0,29
12,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 7621,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",04:15:00,05h 45m,10:00:00,4.5,396.0,27
13,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 4074,RAJDHANI (A.C. Semi Sleeper),04:20:00,05h 40m,10:00:00,3.9,480.0,33
14,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 42962,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",04:30:00,06h 10m,10:40:00,2.6,396.0,28
15,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1887,RAJDHANI (A.C. Semi Sleeper),05:00:00,04h 30m,09:30:00,3.3,480.0,36
16,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 43162,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",05:10:00,06h 10m,11:20:00,4.0,396.0,33
17,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1132,RAJDHANI (A.C. Semi Sleeper),05:30:00,05h 50m,11:20:00,3.0,480.0,36
18,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 43362,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",05:50:00,06h 05m,11:55:00,3.9,396.0,33
19,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1549,RAJADHANI AC (CONVERTED METRO LUXURY),06:00:00,05h 40m,11:40:00,2.6,480.0,35
20,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40577,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",06:30:00,04h 50m,11:20:00,2.7,396.0,29
21,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1959,RAJDHANI (A.C. Semi Sleeper),06:50:00,06h 00m,12:50:00,3.8,480.0,36
22,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 42131,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",07:10:00,05h 00m,12:10:00,2.5,396.0,33
23,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 2981,RAJADHANI AC (CONVERTED METRO LUXURY),07:20:00,05h 40m,13:00:00,2.1,480.0,36
24,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1596,RAJDHANI (A.C. Semi Sleeper),07:40:00,04h 35m,12:15:00,1.9,480.0,36
25,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 7693,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",08:00:00,05h 20m,13:20:00,3.6,396.0,29
26,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1650,RAJADHANI AC (CONVERTED METRO LUXURY),08:20:00,05h 40m,14:00:00,2.1,480.0,36
27,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 31110,RAJDHANI (A.C. Semi Sleeper),08:40:00,05h 40m,14:20:00,3.9,480.0,35
28,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 17162,eGARUDA,09:00:00,06h 10m,15:10:00,3.3,533.0,34
29,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 4076,RAJADHANI AC (CONVERTED METRO LUXURY),09:00:00,05h 45m,14:45:00,2.3,480.0,36
30,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 17962,eGARUDA,09:30:00,06h 10m,15:40:00,3.8,533.0,28
31,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1648,RAJDHANI (A.C. Semi Sleeper),09:40:00,04h 20m,14:00:00,3.4,480.0,37
32,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 9923,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",09:50:00,06h 10m,16:00:00,3.4,396.0,33
33,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 9934,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",10:10:00,07h 10m,17:20:00,3.9,396.0,33
34,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1892,RAJDHANI (A.C. Semi Sleeper),10:20:00,05h 55m,16:15:00,2.5,480.0,36
35,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1464,RAJDHANI (A.C. Semi Sleeper),10:40:00,06h 10m,16:50:00,2.1,480.0,36
36,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40131,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",11:00:00,05h 00m,16:00:00,4.6,396.0,29
37,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 2991,RAJDHANI (A.C. Semi Sleeper),11:20:00,05h 40m,17:00:00,2.1,480.0,37
38,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40177,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",11:40:00,04h 40m,16:20:00,4.5,396.0,33
39,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1805,RAJADHANI AC (CONVERTED METRO LUXURY),11:45:00,05h 55m,17:40:00,3.0,480.0,36
40,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1582,RAJDHANI (A.C. Semi Sleeper),12:10:00,04h 30m,16:40:00,3.1,480.0,34
41,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40162,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",12:20:00,06h 10m,18:30:00,2.2,396.0,33
42,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1468,RAJDHANI (A.C. Semi Sleeper),12:40:00,04h 30m,17:10:00,2.7,480.0,37
43,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 9945,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:00:00,06h 10m,19:10:00,2.7,396.0,33
44,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1547,RAJDHANI (A.C. Semi Sleeper),13:00:00,06h 10m,19:10:00,1.7,480.0,37
45,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 18762,eGARUDA,13:30:00,06h 25m,19:55:00,3.7,533.0,35
46,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40331,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:40:00,04h 50m,18:30:00,4.0,396.0,33
47,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1600,RAJDHANI (A.C. Semi Sleeper),14:00:00,05h 40m,19:40:00,2.7,480.0,35
48,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1432,RAJDHANI (A.C. Semi Sleeper),14:20:00,04h 55m,19:15:00,2.2,480.0,37
49,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40362,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:20:00,06h 10m,20:30:00,2.9,396.0,33
50,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1402,RAJDHANI (A.C. Semi Sleeper),14:40:00,04h 50m,19:30:00,2.1,480.0,36
51,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40562,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:50:00,06h 10m,21:00:00,3.3,396.0,33
52,Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 30162,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),15:00:00,06h 00m,21:00:00,3.8,533.0,41
